phase_name,dt_s,t_cmd_nm,grade,p_aux_w,time_s,v_mps,v_kph,a_mps2,soc,motor_torque_actual_nm,motor_speed_rpm,battery_power_w,cumulative_energy_kwh,f_roll_n,f_aero_n,f_grade_n,f_drive_n,f_net_n
平路匀速,0.1,12.0,0.0,800.0,14.399999999999965,25.17838722340377,90.64219400425358,-0.05619759625005827,0.846660643656513,12.0,7368.196541423624,10865.415391888693,0.20036138060921851,194.23800000000003,247.84287252226846,0.0,349.35483870967744,-92.72603381259106
平路匀速,0.1,12.0,0.0,800.0,14.499999999999964,25.172774166743515,90.62198700027666,-0.056130566602554666,0.8466556144109555,12.0,7366.553938015235,10863.170404061693,0.20066313534266467,194.23800000000003,247.73227360390635,0.0,349.35483870967744,-92.61543489422894
平路匀速,0.1,12.0,0.0,800.0,14.599999999999964,25.167167803559806,90.6018040928153,-0.056063631837091066,0.8466505862035048,12.0,7364.913293384041,10860.928093644072,0.20096482778971034,194.23800000000003,247.62183124086783,0.0,349.35483870967744,-92.50499253119042
平路匀速,0.1,12.0,0.0,800.0,14.699999999999964,25.161568124381102,90.58164524777197,-0.0559967917870452,0.8466455590329228,12.0,7363.274604758295,10858.688456846532,0.20126645802462273,194.23800000000003,247.51154515831033,0.0,349.35483870967744,-92.39470644863292
平路匀速,0.1,12.0,0.0,800.0,14.799999999999963,25.155975119752476,90.56151043110891,-0.05593004628625664,0.8466405328979738,12.0,7361.637869371109,10856.451489886445,0.20156802612156402,194.23800000000003,247.4014150819901,0.0,349.35483870967744,-92.2845763723127
平路匀速,0.1,12.0,0.0,800.0,14.899999999999963,25.15038878023559,90.54139960884812,-0.055863395168849195,0.8466355077974234,12.0,7360.003084460451,10854.217188987797,0.20186953215459147,194.23800000000003,247.29144073826106,0.0,349.35483870967744,-92.17460202858365
平路匀速,0.1,12.0,0.0,800.0,14.999999999999963,25.144809096408657,90.52131274707116,-0.055796838269337456,0.8466304837300389,12.0,7358.370247269132,10851.985550381212,0.20217097619765761,194.23800000000003,247.18162185407283,0.0,349.35483870967744,-92.06478314439542
平路匀速,0.1,12.0,0.0,800.0,15.099999999999962,25.1392360588664,90.50124981191904,-0.055730375422591294,0.8466254606945897,12.0,7356.73935504479,10849.756570303918,0.2024723583246105,194.23800000000003,247.07195815696937,0.0,349.35483870967744,-91.95511944729196
平路匀速,0.1,12.0,0.0,800.0,15.199999999999962,25.13366965822001,90.48121076959204,-0.055664006463871374,0.8466204386898466,12.0,7355.110405039892,10847.530244999738,0.20277367860919382,194.23800000000003,246.96244937508752,0.0,349.35483870967744,-91.8456106654101
平路匀速,0.1,12.0,0.0,800.0,15.299999999999962,25.128109885097135,90.46119558634969,-0.05559773122875811,0.8466154177145824,12.0,7353.4833945117125,10845.306570719064,0.20307493712504712,194.23800000000003,246.85309523715503,0.0,349.35483870967744,-91.73625652747762
平路匀速,0.1,12.0,0.0,800.0,15.399999999999961,25.122556730141813,90.44120422851053,-0.0555315495532227,0.8466103977675714,12.0,7351.858320722325,10843.085543718862,0.20337613394570597,194.23800000000003,246.7438954724895,0.0,349.35483870967744,-91.62705676281209
平路匀速,0.1,12.0,0.0,800.0,15.499999999999961,25.11701018401446,90.42123666245206,-0.05546546127352059,0.8466053788475898,12.0,7350.235180938596,10840.867160262647,0.20367726914460216,194.23800000000003,246.63484981099646,0.0,349.35483870967744,-91.51801110131905
平路匀速,0.1,12.0,0.0,800.0,15.59999999999996,25.111470237391824,90.40129285461057,-0.05539946622636904,0.8466003609534154,12.0,7348.613972432175,10838.651416620472,0.20397834279506383,194.23800000000003,246.52595798316813,0.0,349.35483870967744,-91.40911927349072
平路匀速,0.1,12.0,0.0,800.0,15.69999999999996,25.10593688096695,90.38137277148103,-0.055333564248734035,0.8465953440838279,12.0,7346.994692479473,10836.4383090689,0.20427935497031574,194.23800000000003,246.41721972008168,0.0,349.35483870967744,-91.30038101040427
平路匀速,0.1,12.0,0.0,800.0,15.79999999999996,25.10041010544915,90.36147637961695,-0.05526775517800786,0.8465903282376085,12.0,7345.377338361667,10834.227833891015,0.20458030574347938,194.23800000000003,246.30863475339777,0.0,349.35483870967744,-91.19179604372036
平路匀速,0.1,12.0,0.0,800.0,15.89999999999996,25.094889901563956,90.34160364563024,-0.055202038851938084,0.8465853134135403,12.0,7343.761907364679,10832.01998737639,0.20488119518757317,194.23800000000003,246.20020281535906,0.0,349.35483870967744,-91.08336410568165
平路匀速,0.1,12.0,0.0,800.0,15.99999999999996,25.0893762600531,90.32175453619116,-0.05513641510855649,0.8465802996104079,12.0,7342.148396779173,10829.814765821082,0.20518202337551264,194.23800000000003,246.09192363878853,0.0,349.35483870967744,-90.97508492911112
平路匀速,0.1,12.0,0.0,800.0,16.09999999999996,25.08386917167447,90.30192901802809,-0.05507088378632119,0.846575286826998,12.0,7340.536803900539,10827.612165527598,0.20548279038011064,194.23800000000003,245.98379695708815,0.0,349.35483870967744,-90.86695824741074
平路匀速,0.1,12.0,0.0,800.0,16.19999999999996,25.07836862720207,90.28212705792745,-0.055005444723974506,0.8465702750620986,12.0,7338.927126028883,10825.41218280492,0.20578349627407744,194.23800000000003,245.87582250423736,0.0,349.35483870967744,-90.75898379455995
